tackle,display_name,play_description
0,Rodger Saffold,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Bobby Wagner,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Aaron Donald,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Mitch Morse,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Jamison Crowder,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Troy Hill,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Jake Kumerow,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Jalen Ramsey,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Leonard Floyd,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,A'Shawn Robinson,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Dion Dawkins,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Josh Allen,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Taylor Rapp,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Devin Singletary,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,David Long,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Dawson Knox,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Greg Gaines,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Justin Hollins,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
